"Time";"Room setpoint";"Room Temp";"return";"return";"discharge"
"2019-10-02T09:00:17+02:00";23;null;null;null;null
"2019-10-02T09:00:18+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:00:47+02:00";23;null;null;null;null
"2019-10-02T09:00:48+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:01:17+02:00";23;null;null;null;null
"2019-10-02T09:01:18+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:01:47+02:00";23;null;null;null;null
"2019-10-02T09:01:48+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:02:17+02:00";23;null;null;null;null
"2019-10-02T09:02:18+02:00";null;22.9;24.1;24.4;16.8
"2019-10-02T09:02:47+02:00";23;null;null;null;null
"2019-10-02T09:02:48+02:00";null;22.9;24.1;24.4;16.8
"2019-10-02T09:03:17+02:00";23;null;null;null;null
"2019-10-02T09:03:18+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:03:47+02:00";23;null;null;null;null
"2019-10-02T09:03:48+02:00";null;22.9;24.2;24.5;16.8
"2019-10-02T09:04:17+02:00";23;null;null;null;null
"2019-10-02T09:04:18+02:00";null;23;24.2;24.4;16.8
"2019-10-02T09:04:47+02:00";23;null;null;null;null
"2019-10-02T09:04:48+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:05:17+02:00";23;null;null;null;null
"2019-10-02T09:05:18+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:05:47+02:00";23;null;null;null;null
"2019-10-02T09:05:48+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:06:17+02:00";23;null;null;null;null
"2019-10-02T09:06:18+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:06:47+02:00";23;null;null;null;null
"2019-10-02T09:06:48+02:00";null;22.9;24.2;24.4;16.8
"2019-10-02T09:07:17+02:00";23;null;null;null;null
"2019-10-02T09:07:18+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:07:47+02:00";23;null;null;null;null
"2019-10-02T09:07:48+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:08:17+02:00";23;null;null;null;null
"2019-10-02T09:08:18+02:00";null;22.9;24.2;24.5;16.7
"2019-10-02T09:08:47+02:00";23;null;null;null;null
"2019-10-02T09:08:48+02:00";null;22.9;24.2;24.5;16.8
"2019-10-02T09:09:17+02:00";23;null;null;null;null
"2019-10-02T09:09:18+02:00";null;22.9;24.2;24.5;16.7
"2019-10-02T09:09:47+02:00";23;null;null;null;null
"2019-10-02T09:09:48+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:10:17+02:00";23;null;null;null;null
"2019-10-02T09:10:18+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:10:47+02:00";23;null;null;null;null
"2019-10-02T09:10:48+02:00";null;23;24.1;24.4;16.7
"2019-10-02T09:11:17+02:00";23;null;null;null;null
"2019-10-02T09:11:18+02:00";null;23;24.2;24.4;16.8
"2019-10-02T09:11:47+02:00";23;null;null;null;null
"2019-10-02T09:11:48+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:12:17+02:00";23;null;null;null;null
"2019-10-02T09:12:18+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:12:47+02:00";23;null;null;null;null
"2019-10-02T09:12:48+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:13:17+02:00";23;null;null;null;null
"2019-10-02T09:13:18+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:13:47+02:00";23;null;null;null;null
"2019-10-02T09:13:48+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:14:17+02:00";23;null;null;null;null
"2019-10-02T09:14:18+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:14:47+02:00";23;null;null;null;null
"2019-10-02T09:14:48+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:15:17+02:00";23;null;null;null;null
"2019-10-02T09:15:18+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:15:47+02:00";23;null;null;null;null
"2019-10-02T09:15:48+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:16:17+02:00";23;null;null;null;null
"2019-10-02T09:16:18+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:16:47+02:00";23;null;null;null;null
"2019-10-02T09:16:48+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:17:17+02:00";23;null;null;null;null
"2019-10-02T09:17:18+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:17:47+02:00";23;null;null;null;null
"2019-10-02T09:17:48+02:00";null;23;24.2;24.4;16.8
"2019-10-02T09:18:17+02:00";23;null;null;null;null
"2019-10-02T09:18:18+02:00";null;23;24.2;24.4;16.8
"2019-10-02T09:18:47+02:00";23;null;null;null;null
"2019-10-02T09:18:48+02:00";null;23;24.2;24.4;16.8
"2019-10-02T09:19:17+02:00";23;null;null;null;null
"2019-10-02T09:19:18+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:19:47+02:00";23;null;null;null;null
"2019-10-02T09:19:48+02:00";null;23;24.2;24.4;16.8
"2019-10-02T09:20:17+02:00";23;null;null;null;null
"2019-10-02T09:20:18+02:00";null;22.9;24.2;24.4;16.7
"2019-10-02T09:20:47+02:00";23;null;null;null;null
"2019-10-02T09:20:48+02:00";null;22.9;24.2;24.4;16.8
"2019-10-02T09:21:17+02:00";23;null;null;null;null
"2019-10-02T09:21:18+02:00";null;23;24.1;24.4;16.8
"2019-10-02T09:21:47+02:00";23;null;null;null;null
"2019-10-02T09:21:48+02:00";null;22.9;24.2;24.4;16.8
"2019-10-02T09:22:17+02:00";23;null;null;null;null
"2019-10-02T09:22:18+02:00";null;23;24.2;24.4;16.8
"2019-10-02T09:22:47+02:00";23;null;null;null;null
"2019-10-02T09:22:48+02:00";null;23;24.1;24.4;16.7
"2019-10-02T09:23:17+02:00";23;null;null;null;null
"2019-10-02T09:23:18+02:00";null;22.9;24.2;24.4;16.7
"2019-10-02T09:23:47+02:00";23;null;null;null;null
"2019-10-02T09:23:48+02:00";null;23;24.2;24.4;16.8
"2019-10-02T09:24:17+02:00";23;null;null;null;null
"2019-10-02T09:24:18+02:00";null;23;24.3;24.5;16.7
"2019-10-02T09:24:47+02:00";23;null;null;null;null
"2019-10-02T09:24:48+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:25:17+02:00";23;null;null;null;null
"2019-10-02T09:25:18+02:00";null;23;24.3;24.5;16.7
"2019-10-02T09:25:47+02:00";23;null;null;null;null
"2019-10-02T09:25:48+02:00";null;23;24.3;24.5;16.7
"2019-10-02T09:26:17+02:00";23;null;null;null;null
"2019-10-02T09:26:18+02:00";null;23;24.3;24.5;16.7
"2019-10-02T09:26:47+02:00";23;null;null;null;null
"2019-10-02T09:26:48+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:27:17+02:00";23;null;null;null;null
"2019-10-02T09:27:18+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:27:47+02:00";23;null;null;null;null
"2019-10-02T09:27:48+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:28:17+02:00";23;null;null;null;null
"2019-10-02T09:28:18+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:28:47+02:00";23;null;null;null;null
"2019-10-02T09:28:48+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:29:17+02:00";23;null;null;null;null
"2019-10-02T09:29:18+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:29:47+02:00";23;null;null;null;null
"2019-10-02T09:29:48+02:00";null;23;24.2;24.4;16.7
"2019-10-02T09:30:17+02:00";23;null;null;null;null
"2019-10-02T09:30:18+02:00";null;23;24.2;24.4;16.7
"2019-10-02T09:30:47+02:00";23;null;null;null;null
"2019-10-02T09:30:48+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:31:17+02:00";23;null;null;null;null
"2019-10-02T09:31:18+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:31:47+02:00";23;null;null;null;null
"2019-10-02T09:31:48+02:00";null;23;24.3;24.5;16.7
"2019-10-02T09:32:17+02:00";23;null;null;null;null
"2019-10-02T09:32:18+02:00";null;23;24.3;24.5;16.7
"2019-10-02T09:32:47+02:00";23;null;null;null;null
"2019-10-02T09:32:48+02:00";null;23;24.3;24.5;16.7
"2019-10-02T09:33:17+02:00";23;null;null;null;null
"2019-10-02T09:33:18+02:00";null;23;24.2;24.5;16.7
"2019-10-02T09:33:47+02:00";23;null;null;null;null
"2019-10-02T09:33:48+02:00";null;23;24.3;24.5;16.7
"2019-10-02T09:34:17+02:00";23;null;null;null;null
"2019-10-02T09:34:18+02:00";null;23;24.3;24.5;16.8
"2019-10-02T09:34:47+02:00";23;null;null;null;null
"2019-10-02T09:34:48+02:00";null;23;24.3;24.5;16.8
"2019-10-02T09:35:17+02:00";23;null;null;null;null
"2019-10-02T09:35:18+02:00";null;23;24.3;24.5;16.8
"2019-10-02T09:35:47+02:00";23;null;null;null;null
"2019-10-02T09:35:48+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:36:17+02:00";23;null;null;null;null
"2019-10-02T09:36:18+02:00";null;23;24.2;24.5;17
"2019-10-02T09:36:47+02:00";23;null;null;null;null
"2019-10-02T09:36:48+02:00";null;23;24.2;24.5;17
"2019-10-02T09:37:17+02:00";23;null;null;null;null
"2019-10-02T09:37:18+02:00";null;23;24.2;24.5;16.8
"2019-10-02T09:37:47+02:00";23;null;null;null;null
"2019-10-02T09:37:48+02:00";null;23;24.2;24.4;16.7
"2019-10-02T09:38:17+02:00";23;null;null;null;null
"2019-10-02T09:38:18+02:00";null;23;24.1;24.4;16.7
"2019-10-02T09:38:47+02:00";23;null;null;null;null
"2019-10-02T09:38:49+02:00";null;23;24.1;24.4;16.5
"2019-10-02T09:39:17+02:00";23;null;null;null;null
"2019-10-02T09:39:18+02:00";null;23;24.1;24.4;16.3
"2019-10-02T09:39:47+02:00";23;null;null;null;null
"2019-10-02T09:39:48+02:00";null;22.9;24;24.3;16.1
"2019-10-02T09:40:17+02:00";23;null;null;null;null
"2019-10-02T09:40:18+02:00";null;22.9;24;24.3;16
"2019-10-02T09:40:47+02:00";23;null;null;null;null
"2019-10-02T09:40:48+02:00";null;22.9;24.1;24.3;15.9
"2019-10-02T09:41:17+02:00";23;null;null;null;null
"2019-10-02T09:41:18+02:00";null;22.9;24.5;24.7;15.8
"2019-10-02T09:41:47+02:00";23;null;null;null;null
"2019-10-02T09:41:48+02:00";null;23;24.9;25.1;15.7
"2019-10-02T09:42:17+02:00";23;null;null;null;null
"2019-10-02T09:42:18+02:00";null;23;25.3;25.5;15.7
"2019-10-02T09:42:47+02:00";23;null;null;null;null
"2019-10-02T09:42:48+02:00";null;23;25.7;25.9;15.6
"2019-10-02T09:43:17+02:00";23;null;null;null;null
"2019-10-02T09:43:18+02:00";null;23;26.1;26.2;15.7
"2019-10-02T09:43:47+02:00";23;null;null;null;null
"2019-10-02T09:43:48+02:00";null;23;26.4;26.6;15.7
"2019-10-02T09:44:17+02:00";23;null;null;null;null
"2019-10-02T09:44:18+02:00";null;23;26.6;26.9;15.7
"2019-10-02T09:44:47+02:00";23;null;null;null;null
"2019-10-02T09:44:48+02:00";null;23;26.9;27.1;15.8
"2019-10-02T09:45:17+02:00";23;null;null;null;null
"2019-10-02T09:45:18+02:00";null;23;27.2;27.3;15.9
"2019-10-02T09:45:47+02:00";23;null;null;null;null
"2019-10-02T09:45:48+02:00";null;23;27.4;27.5;16
"2019-10-02T09:46:17+02:00";23;null;null;null;null
"2019-10-02T09:46:18+02:00";null;23;27.5;27.6;16.1
"2019-10-02T09:46:47+02:00";23;null;null;null;null
"2019-10-02T09:46:48+02:00";null;23;27.7;27.8;16.2
"2019-10-02T09:47:17+02:00";23;null;null;null;null
"2019-10-02T09:47:18+02:00";null;23;27.8;27.9;16.2
"2019-10-02T09:47:47+02:00";23;null;null;null;null
"2019-10-02T09:47:48+02:00";null;23;28;28;16.3
"2019-10-02T09:48:17+02:00";23;null;null;null;null
"2019-10-02T09:48:18+02:00";null;23;28.1;28;16.4
"2019-10-02T09:48:47+02:00";23;null;null;null;null
"2019-10-02T09:48:48+02:00";null;23;28.1;28.1;16.5
"2019-10-02T09:49:17+02:00";23;null;null;null;null
"2019-10-02T09:49:18+02:00";null;23;28.2;28.2;16.5
"2019-10-02T09:49:47+02:00";23;null;null;null;null
"2019-10-02T09:49:48+02:00";null;23;28.3;28.3;16.6
"2019-10-02T09:50:17+02:00";23;null;null;null;null
"2019-10-02T09:50:18+02:00";null;23;28.4;28.3;16.6
"2019-10-02T09:50:47+02:00";23;null;null;null;null
"2019-10-02T09:50:48+02:00";null;23;28.5;28.4;16.6
"2019-10-02T09:51:17+02:00";23;null;null;null;null
"2019-10-02T09:51:18+02:00";null;23;28.5;28.5;16.7
"2019-10-02T09:51:47+02:00";23;null;null;null;null
"2019-10-02T09:51:48+02:00";null;23;28.6;28.5;16.7
"2019-10-02T09:52:17+02:00";23;null;null;null;null
"2019-10-02T09:52:18+02:00";null;23;28.7;28.6;16.7
"2019-10-02T09:52:47+02:00";23;null;null;null;null
"2019-10-02T09:52:48+02:00";null;23;28.7;28.7;16.7
"2019-10-02T09:53:17+02:00";23;null;null;null;null
"2019-10-02T09:53:18+02:00";null;23;28.7;28.7;16.7
"2019-10-02T09:53:47+02:00";23;null;null;null;null
"2019-10-02T09:53:48+02:00";null;23;28.8;28.7;16.7
"2019-10-02T09:54:17+02:00";23;null;null;null;null
"2019-10-02T09:54:18+02:00";null;23;28.8;28.8;16.7
"2019-10-02T09:54:47+02:00";23;null;null;null;null
"2019-10-02T09:54:48+02:00";null;23;28.9;28.9;16.6
"2019-10-02T09:55:17+02:00";23;null;null;null;null
"2019-10-02T09:55:18+02:00";null;23;28.9;28.9;16.6
"2019-10-02T09:55:47+02:00";23;null;null;null;null
"2019-10-02T09:55:48+02:00";null;23;28.9;28.9;16.6
"2019-10-02T09:56:17+02:00";23;null;null;null;null
"2019-10-02T09:56:18+02:00";null;23;28.9;28.9;16.6
"2019-10-02T09:56:47+02:00";23;null;null;null;null
"2019-10-02T09:56:48+02:00";null;23;28.9;29;16.6
"2019-10-02T09:57:17+02:00";23;null;null;null;null
"2019-10-02T09:57:18+02:00";null;23;28.9;29;16.6
"2019-10-02T09:57:47+02:00";23;null;null;null;null
"2019-10-02T09:57:48+02:00";null;23;28.9;29;16.5
"2019-10-02T09:58:17+02:00";23;null;null;null;null
"2019-10-02T09:58:18+02:00";null;23;28.9;29;16.6
"2019-10-02T09:58:47+02:00";23;null;null;null;null
"2019-10-02T09:58:48+02:00";null;23;29;29.1;16.5
"2019-10-02T09:59:17+02:00";23;null;null;null;null
"2019-10-02T09:59:18+02:00";null;23.1;28.9;29.1;16.5
"2019-10-02T09:59:47+02:00";23;null;null;null;null
"2019-10-02T09:59:48+02:00";null;23.1;28.9;29.1;16.6
"2019-10-02T10:00:17+02:00";23;null;null;null;null
"2019-10-02T10:00:18+02:00";null;23.1;28.9;29.1;16.6
"2019-10-02T10:00:47+02:00";23;null;null;null;null
"2019-10-02T10:00:48+02:00";null;23.1;28.9;29.1;16.6
"2019-10-02T10:01:17+02:00";23;null;null;null;null
"2019-10-02T10:01:18+02:00";null;23;28.9;29.2;16.6
"2019-10-02T10:01:47+02:00";23;null;null;null;null
"2019-10-02T10:01:48+02:00";null;23;28.8;29.1;16.6
"2019-10-02T10:02:17+02:00";23;null;null;null;null
"2019-10-02T10:02:18+02:00";null;23;28.9;29.2;16.6
"2019-10-02T10:02:47+02:00";23;null;null;null;null
"2019-10-02T10:02:48+02:00";null;23;28.8;29.2;16.6
"2019-10-02T10:03:17+02:00";23;null;null;null;null
"2019-10-02T10:03:18+02:00";null;23;28.8;29.2;16.6
"2019-10-02T10:03:47+02:00";23;null;null;null;null
"2019-10-02T10:03:48+02:00";null;23;28.8;29.2;16.6
"2019-10-02T10:04:17+02:00";23;null;null;null;null
"2019-10-02T10:04:18+02:00";null;23;28.8;29.2;16.6
"2019-10-02T10:04:47+02:00";23;null;null;null;null
"2019-10-02T10:04:48+02:00";null;23;28.8;29.2;16.6
"2019-10-02T10:05:17+02:00";23;null;null;null;null
"2019-10-02T10:05:18+02:00";null;23;28.8;29.2;16.6
"2019-10-02T10:05:47+02:00";23;null;null;null;null
"2019-10-02T10:05:48+02:00";null;23;28.8;29.2;16.6
"2019-10-02T10:06:17+02:00";23;null;null;null;null
"2019-10-02T10:06:18+02:00";null;22.9;28.8;29.2;16.6
"2019-10-02T10:06:47+02:00";23;null;null;null;null
"2019-10-02T10:06:48+02:00";null;22.9;28.8;29.2;16.6
"2019-10-02T10:07:17+02:00";23;null;null;null;null
"2019-10-02T10:07:18+02:00";null;22.9;28.8;29.2;16.6
"2019-10-02T10:07:47+02:00";23;null;null;null;null
"2019-10-02T10:07:48+02:00";null;22.9;28.8;29.2;16.6
"2019-10-02T10:08:17+02:00";23;null;null;null;null
"2019-10-02T10:08:18+02:00";null;23;28.9;29.2;16.6
"2019-10-02T10:08:47+02:00";23;null;null;null;null
"2019-10-02T10:08:48+02:00";null;22.9;28.9;29.2;16.6
"2019-10-02T10:09:17+02:00";23;null;null;null;null
"2019-10-02T10:09:18+02:00";null;23;28.9;29.2;16.6
"2019-10-02T10:09:47+02:00";23;null;null;null;null
"2019-10-02T10:09:48+02:00";null;23;28.9;29.3;16.6
"2019-10-02T10:10:17+02:00";23;null;null;null;null
"2019-10-02T10:10:18+02:00";null;23;28.9;29.3;16.6
"2019-10-02T10:10:47+02:00";23;null;null;null;null
"2019-10-02T10:10:48+02:00";null;23;28.9;29.3;16.6
"2019-10-02T10:11:17+02:00";23;null;null;null;null
"2019-10-02T10:11:18+02:00";null;23;28.9;29.3;16.6
"2019-10-02T10:11:47+02:00";23;null;null;null;null
"2019-10-02T10:11:48+02:00";null;22.9;28.8;29.2;16.6
"2019-10-02T10:12:17+02:00";23;null;null;null;null
"2019-10-02T10:12:18+02:00";null;22.9;28.8;29.3;16.6
"2019-10-02T10:12:47+02:00";23;null;null;null;null
"2019-10-02T10:12:48+02:00";null;22.9;28.8;29.2;16.6
"2019-10-02T10:13:17+02:00";23;null;null;null;null
"2019-10-02T10:13:18+02:00";null;22.9;28.8;29.2;16.6
"2019-10-02T10:13:47+02:00";23;null;null;null;null
"2019-10-02T10:13:48+02:00";null;22.9;28.8;29.2;16.6
"2019-10-02T10:14:17+02:00";23;null;null;null;null
"2019-10-02T10:14:18+02:00";null;22.9;28.9;29.2;16.6
"2019-10-02T10:14:47+02:00";23;null;null;null;null
"2019-10-02T10:14:48+02:00";null;22.9;28.8;29.2;16.5
"2019-10-02T10:15:17+02:00";23;null;null;null;null
"2019-10-02T10:15:18+02:00";null;22.9;28.9;29.2;16.5
"2019-10-02T10:15:47+02:00";23;null;null;null;null
"2019-10-02T10:15:48+02:00";null;22.9;28.9;29.3;16.5
"2019-10-02T10:16:17+02:00";23;null;null;null;null
"2019-10-02T10:16:18+02:00";null;22.9;28.9;29.3;16.5
"2019-10-02T10:16:47+02:00";23;null;null;null;null
"2019-10-02T10:16:48+02:00";null;22.9;28.9;29.2;16.5
"2019-10-02T10:17:17+02:00";23;null;null;null;null
"2019-10-02T10:17:18+02:00";null;22.9;28.9;29.2;16.5
"2019-10-02T10:17:47+02:00";23;null;null;null;null
"2019-10-02T10:17:48+02:00";null;22.9;28.9;29.3;16.5
"2019-10-02T10:18:17+02:00";23;null;null;null;null
"2019-10-02T10:18:18+02:00";null;22.9;29;29.3;16.5
"2019-10-02T10:18:47+02:00";23;null;null;null;null
"2019-10-02T10:18:48+02:00";null;22.9;29;29.3;16.5
"2019-10-02T10:19:17+02:00";23;null;null;null;null
"2019-10-02T10:19:18+02:00";null;22.9;29.1;29.3;16.5
"2019-10-02T10:19:47+02:00";23;null;null;null;null
"2019-10-02T10:19:48+02:00";null;22.9;29;29.3;16.5
"2019-10-02T10:20:17+02:00";23;null;null;null;null
"2019-10-02T10:20:18+02:00";null;22.9;29.1;29.4;16.4
"2019-10-02T10:20:47+02:00";23;null;null;null;null
"2019-10-02T10:20:48+02:00";null;22.9;29.1;29.4;16.4
"2019-10-02T10:21:17+02:00";23;null;null;null;null
"2019-10-02T10:21:18+02:00";null;22.9;29.1;29.4;16.4
"2019-10-02T10:21:47+02:00";23;null;null;null;null
"2019-10-02T10:21:48+02:00";null;22.9;29.1;29.4;16.4
"2019-10-02T10:22:17+02:00";23;null;null;null;null
"2019-10-02T10:22:18+02:00";null;22.9;29.2;29.4;16.4
"2019-10-02T10:22:47+02:00";23;null;null;null;null
"2019-10-02T10:22:48+02:00";null;22.9;29.2;29.4;16.4
"2019-10-02T10:23:17+02:00";23;null;null;null;null
"2019-10-02T10:23:18+02:00";null;22.9;29.2;29.4;16.4
"2019-10-02T10:23:47+02:00";23;null;null;null;null
"2019-10-02T10:23:48+02:00";null;22.9;29.2;29.4;16.4
"2019-10-02T10:24:17+02:00";23;null;null;null;null
"2019-10-02T10:24:18+02:00";null;22.8;29.2;29.4;16.4
"2019-10-02T10:24:47+02:00";23;null;null;null;null
"2019-10-02T10:24:48+02:00";null;22.8;29.3;29.4;16.4
"2019-10-02T10:25:17+02:00";23;null;null;null;null
"2019-10-02T10:25:18+02:00";null;22.9;29.3;29.5;16.4
"2019-10-02T10:25:47+02:00";23;null;null;null;null
"2019-10-02T10:25:48+02:00";null;22.8;29.4;29.5;16.3
"2019-10-02T10:26:17+02:00";23;null;null;null;null
"2019-10-02T10:26:18+02:00";null;22.9;29.4;29.5;16.3
"2019-10-02T10:26:47+02:00";23;null;null;null;null
"2019-10-02T10:26:48+02:00";null;22.9;29.4;29.5;16.3
"2019-10-02T10:27:17+02:00";23;null;null;null;null
"2019-10-02T10:27:18+02:00";null;23;29.5;29.5;16.3
"2019-10-02T10:27:47+02:00";23;null;null;null;null
"2019-10-02T10:27:48+02:00";null;23;29.5;29.6;16.4
"2019-10-02T10:28:17+02:00";23;null;null;null;null
"2019-10-02T10:28:18+02:00";null;23;29.5;29.6;16.4
"2019-10-02T10:28:47+02:00";23;null;null;null;null
"2019-10-02T10:28:48+02:00";null;23;29.5;29.6;16.4
"2019-10-02T10:29:17+02:00";23;null;null;null;null
"2019-10-02T10:29:18+02:00";null;23;29.5;29.6;16.4
