t,sim,exp
1,0.0551,0.143
2,0.133,0.143
3,0.151,0.143
4,0.167,0.143
5,0.148,0.144
6,0.152,0.144
7,0.161,0.144
8,0.152,0.146
9,0.167,0.146
10,0.16,0.146
11,0.171,0.146
12,0.164,0.146
13,0.171,0.146
14,0.16,0.146
15,0.153,0.147
16,0.181,0.147
17,0.163,0.147
18,0.158,0.147
19,0.159,0.147
20,0.166,0.146
21,0.152,0.147
22,0.184,0.147
23,0.14,0.147
24,0.197,0.147
25,0.158,0.147
26,0.162,0.147
27,0.18,0.147
28,0.159,0.147
29,0.183,0.147
30,0.213,0.147
31,0.203,0.147
32,0.218,0.147
33,0.153,0.147
34,0.201,0.148
35,0.191,0.148
36,0.18,0.147
37,0.181,0.148
38,0.206,0.148
39,0.181,0.149
40,0.166,0.148
41,0.196,0.148
42,0.184,0.148
43,0.204,0.148
44,0.167,0.149
45,0.193,0.149
46,0.182,0.15
47,0.172,0.149
48,0.179,0.149
49,0.168,0.149
50,0.159,0.149
51,0.164,0.149
52,0.167,0.149
53,0.176,0.149
54,0.163,0.15
55,0.167,0.15
56,0.16,0.15
57,0.16,0.15
58,0.164,0.15
59,0.167,0.15
60,0.165,0.15
61,0.168,0.15
62,0.166,0.15
63,0.161,0.15
64,0.162,0.15
65,0.169,0.15
66,0.173,0.15
67,0.174,0.15
68,0.168,0.15
69,0.175,0.15
70,0.16,0.149
71,0.169,0.15
72,0.174,0.15
73,0.167,0.15
74,0.165,0.15
75,0.177,0.15
76,0.163,0.15
77,0.167,0.15
78,0.171,0.15
79,0.162,0.15
80,0.173,0.15
81,0.172,0.15
82,0.159,0.15
83,0.165,0.15
84,0.168,0.15
85,0.16,0.15
86,0.165,0.15
87,0.167,0.15
88,0.166,0.15
89,0.163,0.15
90,0.163,0.15
91,0.171,0.15
92,0.16,0.15
93,0.159,0.15
94,0.163,0.15
95,0.174,0.15
96,0.166,0.15
97,0.169,0.15
98,0.158,0.15
99,0.172,0.15
100,0.167,0.15
101,0.168,0.15
102,0.172,0.15
103,0.156,0.151
104,0.164,0.151
105,0.17,0.151
106,0.144,0.15
107,0.174,0.15
108,0.18,0.15
109,0.159,0.151
110,0.153,0.15
111,0.164,0.151
112,0.176,0.151
113,0.166,0.15
114,0.166,0.15
115,0.16,0.15
116,0.165,0.151
117,0.16,0.151
118,0.173,0.15
119,0.168,0.15
120,0.164,0.15
121,0.165,0.151
122,0.162,0.15
123,0.168,0.15
124,0.163,0.15
125,0.159,0.15
126,0.164,0.15
127,0.165,0.151
128,0.165,0.15
129,0.174,0.15
130,0.17,0.15
131,0.16,0.15
132,0.181,0.15
133,0.165,0.15
134,0.172,0.15
135,0.162,0.151
136,0.162,0.15
137,0.163,0.15
138,0.162,0.151
139,0.168,0.15
140,0.167,0.15
141,0.168,0.15
142,0.16,0.15
143,0.17,0.15
144,0.164,0.15
145,0.165,0.15
146,0.164,0.15
147,0.159,0.15
148,0.162,0.15
149,0.162,0.15
150,0.154,0.15
151,0.166,0.15
152,0.171,0.15
153,0.163,0.15
154,0.181,0.15
155,0.17,0.151
156,0.172,0.15
157,0.167,0.15
158,0.165,0.151
159,0.163,0.151
160,0.159,0.15
161,0.165,0.15
162,0.163,0.15
163,0.16,0.15
164,0.168,0.15
165,0.164,0.15
166,0.165,0.15
167,0.167,0.15
168,0.169,0.15
169,0.156,0.15
170,0.165,0.15
171,0.163,0.151
172,0.153,0.151
173,0.172,0.151
174,0.171,0.15
175,0.177,0.15
176,0.164,0.15
177,0.161,0.15
178,0.161,0.15
179,0.168,0.15
180,0.163,0.15
181,0.171,0.15
182,0.163,0.151
183,0.178,0.15
184,0.166,0.15
185,0.157,0.15
186,0.167,0.15
187,0.167,0.15
188,0.16,0.15
189,0.156,0.151
190,0.161,0.15
191,0.164,0.15
192,0.156,0.151
193,0.154,0.151
194,0.164,0.15
195,0.163,0.151
196,0.161,0.15
197,0.159,0.15
198,0.165,0.15
199,0.169,0.15
200,0.166,0.15
201,0.161,0.15
202,0.17,0.15
203,0.17,0.15
204,0.162,0.15
205,0.169,0.15
206,0.166,0.15
207,0.176,0.151
208,0.163,0.15
209,0.163,0.15
210,0.169,0.15
211,0.162,0.15
212,0.175,0.15
213,0.15,0.15
214,0.167,0.15
215,0.169,0.15
216,0.168,0.15
217,0.161,0.15
218,0.172,0.15
219,0.165,0.15
220,0.171,0.15
221,0.159,0.15
222,0.164,0.15
223,0.164,0.15
224,0.171,0.15
225,0.177,0.15
226,0.169,0.15
227,0.165,0.151
228,0.168,0.15
229,0.173,0.15
230,0.163,0.15
231,0.164,0.151
232,0.165,0.15
233,0.163,0.15
234,0.162,0.15
235,0.163,0.15
236,0.166,0.15
237,0.159,0.15
238,0.165,0.15
239,0.169,0.15
240,0.157,0.15
241,0.171,0.15
242,0.173,0.15
243,0.168,0.15
244,0.163,0.15
245,0.166,0.15
246,0.165,0.15
247,0.159,0.151
248,0.178,0.151
249,0.169,0.151
250,0.168,0.151
251,0.171,0.151
252,0.164,0.151
253,0.163,0.151
254,0.164,0.151
255,0.158,0.15
256,0.166,0.151
257,0.169,0.15
258,0.172,0.151
259,0.17,0.15
260,0.165,0.15
261,0.156,0.15
262,0.163,0.15
263,0.169,0.15
264,0.175,0.15
265,0.152,0.15
266,0.165,0.15
267,0.168,0.15
268,0.163,0.15
269,0.178,0.15
270,0.164,0.15
271,0.168,0.151
272,0.168,0.15
273,0.169,0.15
274,0.173,0.15
275,0.166,0.15
276,0.159,0.15
277,0.169,0.15
278,0.16,0.15
279,0.163,0.15
280,0.168,0.151
281,0.171,0.15
282,0.161,0.15
283,0.168,0.15
284,0.163,0.151
285,0.163,0.15
286,0.174,0.15
287,0.153,0.151
288,0.181,0.15
289,0.163,0.151
290,0.153,0.151
291,0.168,0.151
292,0.174,0.151
293,0.185,0.151
294,0.182,0.151
295,0.193,0.151
296,0.168,0.151
297,0.206,0.151
298,0.18,0.151
299,0.168,0.15
300,0.17,0.151
301,0.18,0.151
302,0.188,0.15
303,0.196,0.15
304,0.179,0.149
305,0.178,0.149
306,0.169,0.15
307,0.166,0.15
308,0.176,0.149
309,0.187,0.15
310,0.17,0.151
311,0.164,0.151
312,0.164,0.151
313,0.178,0.151
314,0.171,0.151
315,0.183,0.151
316,0.16,0.151
317,0.181,0.151
318,0.172,0.151
319,0.171,0.151
320,0.172,0.15
321,0.168,0.15
322,0.175,0.15
323,0.193,0.15
324,0.164,0.15
325,0.169,0.151
326,0.17,0.15
327,0.174,0.15
328,0.171,0.15
329,0.189,0.151
330,0.161,0.151
331,0.189,0.151
332,0.185,0.151
333,0.163,0.151
334,0.165,0.152
335,0.174,0.151
336,0.165,0.151
337,0.165,0.151
338,0.157,0.151
339,0.165,0.15
340,0.183,0.151
341,0.175,0.151
342,0.176,0.15
343,0.192,0.15
344,0.168,0.15
345,0.172,0.149
346,0.167,0.15
347,0.148,0.151
348,0.185,0.151
349,0.2,0.151
350,0.173,0.151
351,0.162,0.151
352,0.179,0.151
353,0.179,0.151
354,0.16,0.151
355,0.178,0.15
356,0.153,0.15
357,0.167,0.151
358,0.182,0.15
359,0.184,0.151
360,0.21,0.151
361,0.168,0.151
362,0.154,0.151
363,0.156,0.151
364,0.155,0.151
365,0.161,0.15
366,0.163,0.15
367,0.159,0.151
368,0.154,0.151
369,0.16,0.15
370,0.158,0.151
371,0.154,0.151
372,0.154,0.151
373,0.157,0.151
374,0.158,0.149
375,0.156,0.15
376,0.154,0.15
377,0.161,0.149
378,0.153,0.151
379,0.166,0.151
380,0.155,0.151
381,0.16,0.151
382,0.156,0.151
383,0.161,0.151
384,0.154,0.151
385,0.164,0.151
386,0.158,0.15
387,0.151,0.151
388,0.156,0.151
389,0.157,0.151
390,0.16,0.151
391,0.155,0.151
392,0.156,0.15
393,0.155,0.15
394,0.156,0.15
395,0.159,0.149
396,0.154,0.15
397,0.153,0.149
398,0.147,0.149
399,0.151,0.149
400,0.158,0.149
401,0.157,0.149
402,0.155,0.15
403,0.152,0.151
404,0.157,0.15
405,0.157,0.151
406,0.16,0.15
407,0.159,0.151
408,0.152,0.151
409,0.161,0.151
410,0.164,0.151
411,0.155,0.151
412,0.158,0.151
413,0.154,0.151
414,0.156,0.15
415,0.155,0.15
416,0.156,0.151
417,0.153,0.15
418,0.158,0.15
419,0.158,0.15
420,0.143,0.149
421,0.16,0.149
422,0.158,0.149
423,0.153,0.149
424,0.167,0.149
425,0.159,0.151
426,0.165,0.151
427,0.154,0.151
428,0.159,0.151
429,0.161,0.151
430,0.156,0.151
431,0.156,0.151
432,0.154,0.151
433,0.159,0.151
434,0.149,0.151
435,0.155,0.151
436,0.148,0.15
437,0.156,0.149
438,0.155,0.15
439,0.15,0.151
440,0.164,0.15
441,0.157,0.149
442,0.155,0.149
443,0.167,0.15
444,0.16,0.15
445,0.165,0.15
446,0.15,0.15
447,0.156,0.151
448,0.155,0.151
449,0.155,0.151
450,0.156,0.151
451,0.156,0.151
452,0.157,0.15
453,0.148,0.151
454,0.154,0.15
455,0.16,0.15
456,0.15,0.149
457,0.158,0.15
458,0.158,0.15
459,0.156,0.149
460,0.146,0.15
461,0.167,0.15
462,0.168,0.149
463,0.152,0.15
464,0.16,0.15
465,0.159,0.15
466,0.16,0.15
467,0.158,0.151
468,0.157,0.15
469,0.155,0.151
470,0.155,0.151
471,0.16,0.151
472,0.162,0.151
473,0.159,0.151
474,0.157,0.151
475,0.159,0.151
476,0.157,0.151
477,0.16,0.151
478,0.16,0.15
479,0.157,0.15
480,0.157,0.15
481,0.158,0.15
482,0.152,0.151
483,0.161,0.149
484,0.166,0.15
485,0.158,0.15
486,0.153,0.149
487,0.154,0.149
488,0.154,0.15
489,0.153,0.15
490,0.157,0.15
491,0.16,0.151
492,0.16,0.151
493,0.159,0.151
494,0.159,0.151
495,0.159,0.151
496,0.157,0.151
497,0.158,0.151
498,0.161,0.151
499,0.158,0.15
500,0.159,0.149
501,0.161,0.15
502,0.157,0.151
503,0.141,0.149
504,0.155,0.149
505,0.153,0.149
506,0.154,0.149
507,0.156,0.149
508,0.151,0.15
509,0.16,0.151
510,0.157,0.151
511,0.152,0.151
512,0.155,0.151
513,0.161,0.151
514,0.162,0.151
515,0.157,0.151
516,0.152,0.149
517,0.16,0.15
518,0.158,0.15
519,0.16,0.15
520,0.156,0.151
521,0.162,0.151
522,0.157,0.151
523,0.156,0.151
524,0.159,0.151
525,0.156,0.15
526,0.156,0.151
527,0.154,0.15
528,0.154,0.15
529,0.148,0.15
530,0.157,0.149
531,0.155,0.149
532,0.157,0.149
533,0.155,0.149
534,0.155,0.149
535,0.16,0.15
536,0.158,0.149
537,0.153,0.15
538,0.157,0.15
539,0.16,0.151
540,0.153,0.151
541,0.157,0.151
542,0.156,0.151
543,0.154,0.151
544,0.156,0.151
545,0.156,0.151
546,0.163,0.15
547,0.158,0.15
548,0.153,0.15
549,0.156,0.15
550,0.156,0.15
551,0.154,0.15
552,0.156,0.15
553,0.158,0.151
554,0.153,0.15
555,0.16,0.149
556,0.157,0.149
557,0.155,0.151
558,0.158,0.151
559,0.155,0.151
560,0.161,0.151
561,0.155,0.151
562,0.154,0.151
563,0.156,0.151
564,0.158,0.151
565,0.168,0.151
566,0.158,0.15
567,0.156,0.15
568,0.151,0.151
569,0.16,0.15
570,0.169,0.149
571,0.155,0.15
572,0.161,0.149
573,0.158,0.149
574,0.156,0.149
575,0.149,0.149
576,0.152,0.149
577,0.154,0.15
578,0.16,0.15
579,0.162,0.15
580,0.154,0.151
581,0.157,0.151
582,0.156,0.151
583,0.156,0.151
584,0.153,0.15
585,0.151,0.15
586,0.157,0.149
587,0.152,0.15
588,0.154,0.15
589,0.159,0.151
590,0.155,0.15
591,0.155,0.151
592,0.159,0.151
593,0.156,0.151
594,0.157,0.151
595,0.161,0.151
596,0.16,0.15
597,0.16,0.15
598,0.15,0.149
599,0.154,0.15
600,0.155,0.149
601,0.149,0.149
602,0.155,0.149
603,0.158,0.149
604,0.168,0.149
605,0.151,0.149
606,0.156,0.149
607,0.157,0.15
608,0.153,0.151
609,0.158,0.151
610,0.158,0.151
611,0.158,0.151
612,0.159,0.151
613,0.154,0.151
614,0.16,0.15
615,0.159,0.151
616,0.161,0.15
617,0.155,0.15
618,0.161,0.151
619,0.157,0.15
620,0.157,0.15
621,0.157,0.15
622,0.153,0.15
623,0.151,0.15
624,0.143,0.15
625,0.161,0.15
626,0.152,0.149
627,0.156,0.149
628,0.157,0.149
629,0.16,0.15
630,0.159,0.149
631,0.16,0.15
632,0.154,0.149
633,0.15,0.15
634,0.155,0.149
635,0.158,0.149
636,0.158,0.15
637,0.157,0.151
638,0.158,0.151
639,0.154,0.151
640,0.16,0.151
641,0.156,0.151
642,0.158,0.151
643,0.162,0.151
644,0.153,0.15
645,0.159,0.15
646,0.16,0.149
647,0.157,0.149
648,0.156,0.149
649,0.152,0.149
650,0.157,0.149
651,0.161,0.149
652,0.159,0.148
653,0.155,0.149
654,0.156,0.15
655,0.145,0.15
656,0.151,0.15
657,0.154,0.151
658,0.162,0.151
659,0.155,0.15
660,0.161,0.151
661,0.164,0.15
662,0.16,0.15
663,0.158,0.15
664,0.157,0.15
665,0.158,0.151
666,0.154,0.151
667,0.161,0.151
668,0.157,0.15
669,0.17,0.15
670,0.151,0.151
671,0.151,0.15
672,0.154,0.149
673,0.164,0.149
674,0.147,0.15
675,0.154,0.149
676,0.152,0.149
677,0.159,0.149
678,0.158,0.149
679,0.155,0.149
680,0.158,0.15
681,0.154,0.149
682,0.159,0.15
683,0.158,0.15
684,0.165,0.151
685,0.168,0.15
686,0.16,0.15
687,0.157,0.151
688,0.153,0.15
689,0.154,0.15
690,0.162,0.151
691,0.159,0.15
692,0.153,0.15
693,0.162,0.15
694,0.16,0.15
695,0.157,0.15
696,0.152,0.15
697,0.153,0.15
698,0.156,0.149
699,0.145,0.149
700,0.164,0.149
701,0.156,0.149
702,0.163,0.149
703,0.154,0.148
704,0.156,0.148
705,0.153,0.149
706,0.158,0.149
707,0.154,0.15
708,0.154,0.151
709,0.164,0.151
710,0.164,0.151
711,0.156,0.151
712,0.153,0.15
713,0.165,0.151
714,0.164,0.149
715,0.156,0.149
716,0.162,0.15
717,0.161,0.149
718,0.161,0.15
719,0.154,0.15
720,0.155,0.149
721,0.168,0.15
722,0.148,0.149
723,0.149,0.149
724,0.149,0.149
725,0.148,0.149
726,0.149,0.15
727,0.15,0.15
728,0.149,0.149
729,0.149,0.15
730,0.15,0.149
731,0.15,0.15
732,0.152,0.149
733,0.147,0.149
734,0.148,0.149
735,0.149,0.149
736,0.147,0.149
737,0.148,0.148
738,0.15,0.149
739,0.149,0.149
740,0.148,0.149
741,0.147,0.148
742,0.149,0.149
743,0.149,0.149
744,0.152,0.149
745,0.148,0.149
746,0.148,0.149
747,0.149,0.15
748,0.15,0.149
749,0.151,0.149
750,0.151,0.149
751,0.149,0.149
752,0.149,0.149
753,0.149,0.149
754,0.149,0.149
755,0.149,0.148
756,0.149,0.148
757,0.15,0.148
758,0.147,0.148
759,0.148,0.148
760,0.146,0.148
761,0.146,0.149
762,0.148,0.149
763,0.148,0.149
764,0.148,0.149
765,0.151,0.149
766,0.149,0.149
767,0.147,0.149
768,0.15,0.149
769,0.148,0.149
770,0.151,0.149
771,0.149,0.149
772,0.15,0.149
773,0.149,0.149
774,0.149,0.149
775,0.149,0.148
776,0.148,0.148
777,0.145,0.148
778,0.148,0.148
779,0.148,0.148
780,0.147,0.148
781,0.148,0.147
782,0.147,0.147
783,0.145,0.148
784,0.145,0.149
785,0.149,0.148
786,0.146,0.148
787,0.148,0.149
788,0.148,0.149
789,0.147,0.149
790,0.148,0.149
791,0.15,0.149
792,0.147,0.148
793,0.15,0.148
794,0.147,0.148
795,0.149,0.149
796,0.151,0.149
797,0.149,0.149
798,0.15,0.149
799,0.148,0.149
800,0.149,0.148
801,0.149,0.149
802,0.149,0.149
803,0.151,0.148
804,0.148,0.148
805,0.148,0.148
806,0.148,0.148
807,0.148,0.148
808,0.148,0.147
809,0.148,0.148
810,0.147,0.148
811,0.148,0.147
812,0.148,0.147
813,0.148,0.148
814,0.148,0.148
815,0.149,0.147
816,0.147,0.147
817,0.147,0.148
818,0.148,0.149
819,0.15,0.148
820,0.149,0.149
821,0.148,0.149
822,0.149,0.148
823,0.147,0.147
824,0.149,0.148
825,0.148,0.149
826,0.148,0.148
827,0.148,0.148
828,0.149,0.148
829,0.148,0.148
830,0.15,0.148
831,0.149,0.147
832,0.148,0.147
833,0.147,0.147
834,0.147,0.147
835,0.146,0.148
836,0.148,0.148
837,0.148,0.147
838,0.146,0.148
839,0.148,0.148
840,0.148,0.147
841,0.146,0.148
842,0.15,0.148
843,0.148,0.147
844,0.149,0.148
845,0.148,0.147
846,0.15,0.148
847,0.152,0.147
848,0.148,0.147
849,0.149,0.148
850,0.151,0.148
851,0.148,0.147
852,0.148,0.148
853,0.149,0.148
854,0.15,0.147
855,0.151,0.146
856,0.147,0.147
857,0.146,0.148
